unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,year_of_pub,obs,n
1850,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Matupá,,1996,2001,,,,5105606,-54.931806,-10.172107,5239.672,-54.931806,-10.172107,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
1859,L. complexa,NA,L_complexa,Brazil,Mato Grosso,NA,NA,1996,2001,,,,NA,NA,NA,NA,NA,NA,NA,,NA,Ribeiro et al. 2007,2007,,
1863,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Nobres,,1996,2001,,,,5105903,-56.334085,-14.7245,3904.422,-56.334085,-14.7245,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
1868,L. umbratilis,,L_umbratilis,Brazil,Mato Grosso,Nortelândia,Estrada que liga Nortelândia à Juína,1987,1987,0,,,5106000,-56.802069,-14.453725,1348.884,-56.802069,-14.453725,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
1890,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Nova Lacerda,,1996,2001,,,,5106182,-59.590331,-14.469789,4735.085,-59.590331,-14.469789,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
1932,L. complexa,MF,L_complexa,Brazil,Mato Grosso,Peixoto de Azevedo,fazenda beira rio,1997,1998,,,,5106422,-54.992297,-10.244842,14257.8,-54.992297,-10.244842,3,,IBGE 2015 (Municipality admin center),Azevedo et al. 2002,2002,,
1933,L. migonei,,L_migonei,Brazil,Mato Grosso,Peixoto de Azevedo,fazenda beira rio,1997,1998,, 54°58’47”W , 10°13’23”S ,5106422,-54.992297,-10.244842,14257.8,-54.979722,-10.223056,1,coordinates,Cited in ref,Azevedo et al. 2002,2002,cerca de 22km da Br-080,
1934,L. umbratilis,,L_umbratilis,Brazil,Mato Grosso,Peixoto de Azevedo,fazenda beira rio,1997,1998,, 54°58’47”W , 10°13’23”S ,5106422,-54.992297,-10.244842,14257.8,-54.979722,-10.223056,1,coordinates,Cited in ref,Azevedo et al. 2002,2002,cerca de 22km da Br-080,
1935,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Peixoto de Azevedo,fazenda beira rio,1997,1998,, 54°58’47”W , 10°13’23”S ,5106422,-54.992297,-10.244842,14257.8,-54.979722,-10.223056,1,coordinates,Cited in ref,Azevedo et al. 2002,2002,cerca de 22km da Br-080,
1936,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Peixoto de Azevedo,"Fazenda Beira-Rio, aproximadamente a 22 km da BR-080 (MT-322)",1997,1998,,,,5106422,-54.992297,-10.244842,14257.8,-54.992297,-10.244842,3,,IBGE 2015 (Municipality admin center),Azevedo et al. 2002,2002,"mapa do estado, localização do município",
1954,L. migonei,,L_migonei,Brazil,Mato Grosso,Ponce,,NA (before 1978),NA (before 1978),0,,,NA,NA,NA,NA,NA,NA,NA,,NA,Martins et al. 1978,1978,,
1965,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Pontes e Lacerda,,1996,2001,,,,5106752,-59.338002,-15.229728,8558.447,-59.338002,-15.229728,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
1975,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Poxoréo,,1996,2001,,,,5107008,-54.400733,-15.818136,6898.803,-54.400733,-15.818136,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
2005,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Rosário Oeste,,NA (before 1978),NA (before 1978),0,,,5107701,-56.428293,-14.826428,7516.256,-56.428293,-14.826428,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
2017,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,São Félix do Araguaia,,1996,2001,,,,5107859,-50.661986,-11.616082,16713.477,-50.661986,-11.616082,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
2030,L. migonei,,L_migonei,Brazil,Mato Grosso,Sinop,Sorriso,1987,1987,0,,,5107909,-55.500922,-11.858005,3942.229,-55.500922,-11.858005,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
2031,L. umbratilis,,L_umbratilis,Brazil,Mato Grosso,Sinop,Sorriso,1987,1987,0,,,5107909,-55.500922,-11.858005,3942.229,-55.500922,-11.858005,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
2101,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Aquidauana,Camisão,1970,1970,0,,,5001102,-55.790616,-20.474654,16970.711,-55.6351,-20.4828,2,,Google Earth,Collection data: CPqRR (speciesLink),,,
2102,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Aquidauana,Camisão Oquidauana (Aquidauana?),1987,1987,0,,,5001102,-55.790616,-20.474654,16970.711,-55.6351,-20.4828,2,,Google Earth,Collection data: USP (Galati),,,
2103,L. cruzi,M,L_cruzi,Brazil,Mato Grosso do Sul,Aquidauana,Chiqueiro Camisão,1987,1987,0,,,5001102,-55.790616,-20.474654,16970.711,-55.6351,-20.4828,2,,Google Earth,Collection data: USP (Galati),,,
2104,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Aquidauana,Chiqueiro Camisão,1987,1987,0,,,5001102,-55.790616,-20.474654,16970.711,-55.6351,-20.4828,2,,Google Earth,Collection data: USP (Galati),,,
2105,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Aquidauana,Colônia Camissão,1970,1970,0,,,5001102,-55.790616,-20.474654,16970.711,-55.6351,-20.4828,2,,Google Earth,Collection data: CPqRR (speciesLink),,,
2106,L. cruzi,NA,L_cruzi,Brazil,Mato Grosso do Sul,Aquidauana,Vila Trindade,1996,,,,,5001102,-55.790616,-20.474654,16970.711,-57.59777,-19.00976,2,,,Santos et al. 2001,2001,"Not available, but considered valid because of males from other studies",
2111,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Aquidauana,,NA (before 1978),NA (before 1978),0,,,5001102,-55.790616,-20.474654,16970.711,-55.790616,-20.474654,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
2112,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Aquidauana,,1996,,,,,5001102,-55.790616,-20.474654,16970.711,-55.790616,-20.474654,3,,IBGE 2015 (Municipality admin center),Santos et al. 2001,2001,Coletas realizadas na regiao do pantanal com armadilhas CDC,
2116,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Aquidauana,,NA (before 1978),NA (before 1978),0,,,5001102,-55.790616,-20.474654,16970.711,-55.790616,-20.474654,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
2117,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Aquidauana,,1996,,,,,5001102,-55.790616,-20.474654,16970.711,-55.790616,-20.474654,3,,IBGE 2015 (Municipality admin center),Santos et al. 2001,2001,Coletas realizadas na regiao do pantanal com armadilhas CDC,
2118,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso do Sul,Bataguassu,"Porto, Sr Romualdo, João Baiano, Porto Romualdo",1999,1999,0,,,5001904,-52.425437,-21.715288,2417.599,-52.266936,-21.741141,1,coordinates,Gomes et al. 2012,Collection data: USP (Galati),,,
2121,L. neivai,,L_neivai,Brazil,Mato Grosso do Sul,Bataguassu,"RSF: Romualdo’s small farm, Paraná River banks",1997,,,,,5001904,-52.425437,-21.715288,2417.599,-52.266936,-21.741141,1,coordinates,Cited in ref,Gomes et al. 2012,2012,original coordinates in UTM,
2123,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Bataguassu,,NA (before 1978),NA (before 1978),0,,,5001904,-52.425437,-21.715288,2417.599,-52.425437,-21.715288,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
