"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
10,0,-47.2291666666667,-12.0625,26.4439999262492,266,86.8594979177475,12.7569994926453,74.7071958185767
10,0,-44.1458333333333,-3.14583333333333,27.5073331197103,377,84.9406280232746,10.3769996960958,83.4969433258475
1,0,-53.3125,-27.6875,22.852666536967,195,9.88636596952058,13.1973332166672,54.9797257792982
7,0,-42.7291666666667,-17.8958333333333,22.3026666641235,253,86.2680811087265,12.0273331006368,65.6657191016412
7,0,-47.8958333333333,-3.56249999999999,26.4653329849243,369,76.465264456976,10.5430002212524,89.075714143904
8,0,-52.7291666666667,-5.52083333333333,25.6560004552205,309,68.5440926748535,11.5343333880107,91.0797046039387
7,0,-46.7708333333333,-18.4791666666667,22.5279998779297,325,87.211869279793,10.774999777476,66.2343251163436
4,0,-70.3125,-31.6458333333333,6.71399996678034,50,83.1754843921903,11.0673332757627,50.1147140884272
1,0,-57.4375,-20.7708333333333,27.8900003433228,165,47.570534488273,11.4726670583089,60.1418839521734
3,0,-44.6875,-14.4791666666667,24.8126665751139,231,95.3231228133188,12.5223329861959,73.0080029983211
8,0,-55.8125,-21.6458333333333,25.4213329950968,188,38.8523677825551,11.1300001144409,61.5461199946336
3,0,-50.9791666666667,-27.8125,19.8866667747498,172,15.1371246291141,10.8356668949127,55.4083989659003
3,0,-57.4791666666667,-29.9375,25.6533336639404,170,28.3806624647245,11.3739999930064,47.1402495903531
2,0,-47.3958333333333,-11.6041666666667,26.1559998194377,265,84.8081509485453,12.5100000699361,75.2888907790959
3,0,-44.1875,-7.77083333333333,27.0453332265218,168,83.369495397783,13.2499998410543,80.6942739311172
5,0,-64.9375,-19.0208333333333,16.9460000991821,130,92.9896644695249,13.8486666679382,74.0570379835715
5,0,-48.7291666666667,-13.7291666666667,24.8713334401449,268,85.2754978232553,11.9296667575836,71.3496804249965
6,0,-57.0208333333333,-29.3125,25.6053333282471,177,23.5319094646689,11.0833336114883,47.3889755689461
10,0,-65.0625,-31.3958333333333,20.7786666552226,104,61.7148501386955,13.105666577816,48.901741919089
5,0,-39.6875,-9.56249999999999,25.039999961853,92,78.309253415011,11.3840001424154,65.1855227031343
6,0,-56.6458333333333,-23.5625,26.7633339564006,178,35.5325178634411,11.5736664930979,57.2840339642229
8,0,-41.6458333333333,-14.7291666666667,23.2339998881022,71,92.9104662181671,10.6719999313354,71.7204336911108
